"quantity","true","estimate","se","lo","hi","covered95"
"public__vs_welfare__ctl_prior",-62.5,-46.6752970009787,14.1464790405758,-74.4023959205072,-18.9481980814501,TRUE
"club__vs_welfare__ctl_prior",-200,-198.062413380019,19.4653789170925,-236.21455605752,-159.910270702518,TRUE
"private__vs_welfare__ctl_prior",-312.5,-314.007008922095,22.7160398505826,-358.530447029236,-269.483570814953,TRUE
"public__vs_welfare__ctl_noprior",-62.5,-83.6293732232026,25.6835431838421,-133.969117863533,-33.2896285828721,TRUE
"club__vs_welfare__ctl_noprior",-200,-209.864015024111,36.0283987889124,-280.479676650379,-139.248353397843,TRUE
"private__vs_welfare__ctl_noprior",-312.5,-325.339647239336,41.7728112119394,-407.214357214738,-243.464937263935,TRUE
"public__vs_welfare__treat_prior",-64.6630025458789,-30.149154693644,14.0907192590439,-57.7669644413701,-2.53134494591787,FALSE
"club__vs_welfare__treat_prior",-198.269597963297,-157.239786358328,19.0885788117676,-194.653400829393,-119.826171887264,FALSE
"private__vs_welfare__treat_prior",-357.200726636258,-311.133258522342,23.1730746150645,-356.552484767868,-265.714032276815,FALSE
"public__vs_welfare__treat_noprior",-77.2482051493646,-96.9538560143766,35.8999306066596,-167.317720003429,-26.5899920253238,TRUE
"club__vs_welfare__treat_noprior",-188.201435880508,-254.940642115035,50.514810725488,-353.949671136991,-155.931613093078,TRUE
"private__vs_welfare__treat_noprior",-315.405801287341,-491.989248510957,61.0951146881261,-611.735673299684,-372.24282372223,FALSE
"public_vs_club__ctl_prior",137.5,151.387116379041,14.6753963924182,122.623339449901,180.15089330818,TRUE
"public_vs_private__ctl_prior",250,267.331711921116,20.1385686577582,227.86011735191,306.803306490322,TRUE
"club_vs_private__ctl_prior",112.5,115.944595542075,16.8674946873232,82.8843059549219,149.004885129229,TRUE
"public_vs_club__ctl_noprior",137.5,126.234641800908,25.1121405415084,77.014846339552,175.454437262265,TRUE
"public_vs_private__ctl_noprior",250,241.710274016134,35.5356590911949,172.060382197392,311.360165834876,TRUE
"club_vs_private__ctl_noprior",112.5,115.475632215225,32.5350494557341,51.7069352819864,179.244329148464,TRUE
"public_vs_club__treat_prior",133.606595417418,127.090631664684,14.3091483621713,99.0447008748285,155.13656245454,TRUE
"public_vs_private__treat_prior",292.537724090379,280.984103828698,20.9926735342271,239.838463701612,322.129743955783,TRUE
"club_vs_private__treat_prior",158.931128672961,153.893472164013,18.1638148963863,118.292394967096,189.49454936093,TRUE
"public_vs_club__treat_noprior",110.953230731144,157.986786100658,30.5858231139204,98.0385727973743,217.934999403942,TRUE
"public_vs_private__treat_noprior",238.157596137977,395.03539249658,45.5300163428464,305.796560464601,484.274224528559,FALSE
"club_vs_private__treat_noprior",127.204365406833,237.048606395922,37.3528342934126,163.837051180833,310.26016161101,FALSE
"UPDATER_public_vs_club",-26.5467692688562,31.7521442997498,39.5277251343615,-45.7221969635988,109.226485563098,TRUE
"NONUPDATER_public_vs_club",-3.89340458258195,-24.2964847143564,20.1946074313263,-63.877915279756,15.2849458510432,TRUE
"ITT_public_vs_club",-9.55674575415052,-10.2843274608298,18.0884732238157,-45.7377349795086,25.169080057849,TRUE
"UPDATER_public_vs_private",-11.8424038620234,153.325118480446,57.5416743295536,40.5434367945214,266.106800166371,FALSE
"NONUPDATER_public_vs_private",42.5377240903787,13.6523919075816,28.8487686818957,-42.891194708934,70.1959785240972,TRUE
"ITT_public_vs_private",28.9426921022782,48.5705735507978,25.9755878967982,-2.34157872692661,99.4827258285222,TRUE
